TreeID,qSpecies,qAddress,qSiteInfo,DBH,PlotSize,Latitude,Longitude
13912,Platanus x hispanica :: Sycamore: London Plane,1072 Market St,Sidewalk: Curb side : Cutout,12,4x4,37.78138378,-122.4115665
23799,Lophostemon confertus :: Brisbane Box,1151 Webster St,Sidewalk: Curb side : Cutout,3,3x3,37.78138378,-122.430725
19539,Tristaniopsis laurina :: Swamp Myrtle,210X Saint Joseph's Ave,Sidewalk: Curb side : Cutout,9,4x4,37.78137784,-122.4412805
17713,Ligustrum lucidum :: Glossy Privet,1230 Pierce St,Sidewalk: Curb side : Cutout,12,3X3,37.78136961,-122.4356039
5950,Fraxinus oxycarpa 'Raywood' :: Raywood Ash,1499X Eddy St,Sidewalk: Curb side : Cutout,3,3X3,37.78136707,-122.4322638
8747,Olea europaea :: Olive Tree,3301 Geary Blvd,Sidewalk: Curb side : Cutout,6,3X3,37.78136206,-122.4544095
6361,Pittosporum undulatum :: Victorian Box,2045 Ellis St,Sidewalk: Curb side : Cutout,12,3X3,37.78135128,-122.43988
20202,Ligustrum lucidum :: Glossy Privet,1315 Steiner St,Sidewalk: Curb side : Cutout,12,4X4,37.78134464,-122.4341388
20193,Pittosporum undulatum :: Victorian Box,1300X Steiner St,Sidewalk: Curb side : Cutout,12,3X3,37.78134379,-122.4339202
6363,Metrosideros excelsa :: New Zealand Xmas Tree,2053 Ellis St,Sidewalk: Curb side : Cutout,12,4x4,37.78133967,-122.4399641
8756,Metrosideros excelsa :: New Zealand Xmas Tree,3355 Geary Blvd,Sidewalk: Curb side : Cutout,12,3X3,37.7813383,-122.4550723
12340,Lophostemon confertus :: Brisbane Box,1121 Laguna St,Sidewalk: Curb side : Cutout,3,3X3,37.78133228,-122.4273194
6378,Ficus nitida :: Laurel Fig,310 Elm St,Sidewalk: Curb side : Cutout,18,4X4,37.78132789,-122.4224067
13894,Platanus x hispanica :: Sycamore: London Plane,1049 Market St,Sidewalk: Curb side : Cutout,20,4X4,37.78132683,-122.4112061
19537,Tristaniopsis laurina :: Swamp Myrtle,204X Saint Joseph's Ave,Sidewalk: Curb side : Cutout,12,4x4,37.7813179,-122.4412684
27252,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,620X Van Ness Ave,Sidewalk: Curb side : Cutout,18,3X3,37.7813171,-122.4203262
6365,Metrosideros excelsa :: New Zealand Xmas Tree,2065 Ellis St,Sidewalk: Curb side : Cutout,6,4X4,37.78131671,-122.4401731
23797,Ficus retusa nitida :: Banyan Fig,1143 Webster St,Sidewalk: Curb side : Cutout,30,3X3,37.7813116,-122.4307203
6345,Corymbia ficifolia :: Red Flowering Gum,1939 Ellis St,Sidewalk: Curb side : Cutout,18,3X3,37.78130708,-122.4385271
23800,Fraxinus uhdei :: Shamel Ash: Evergreen Ash,1160 Webster St,Sidewalk: Curb side : Cutout,40,3X3,37.78130402,-122.4303684
5984,Corymbia ficifolia :: Red Flowering Gum,1624 EDDY ST,Sidewalk: Curb side : Cutout,36,4x4,37.7812977,-122.4344524
8844,Metrosideros excelsa :: New Zealand Xmas Tree,4044 Geary Blvd,Sidewalk: Curb side : Cutout,6,3X3,37.78129565,-122.4629497
23213,Lophostemon confertus :: Brisbane Box,602X Van Ness Ave,Median : Cutout,6,3X3,37.78129218,-122.4204871
124136,Metrosideros excelsa :: New Zealand Xmas Tree,3600x Geary Blvd,Median : Yard,21,,37.78128987,-122.4584016
5967,Pittosporum undulatum :: Victorian Box,1533X Eddy St,Sidewalk: Curb side : Cutout,6,3x3,37.78128987,-122.43287
